 word=ၼႃႈၵၢၼ်, f=371
 word=သၼ်လွႆ, f=371
 word=ၾၢႆႇ, f=371
 word=ၵတ်ႉ, f=371
 word=ၼင်ႇၼၼ်, f=370
 word=ၶိုၵ်ႉ, f=370
 word=သဵတ်ႈ, f=370
 word=ၽၢႆ, f=370
 word=ၼၢင်းယိင်း, f=369
 word=တႅမ်ႈလိၵ်ႈ, f=368
 word=ပျီႇ, f=368
 word=ၼင်, f=368
 word=ၽေး, f=365
 word=ၵႄႇ, f=364
 word=ရႃႇ, f=364
 word=ၵူႇ, f=362
 word=ႁၢၼ်, f=360
 word=ၶေႃ, f=360
 word=ဝီ, f=360
 word=ၶိင်း, f=358
 word=ဢိၼ်ႇ, f=358
 word=ၵႂႃႇၸူး, f=356
 word=ၶႅၼ်ႇ, f=354
 word=ၵူဝ်, f=354
 word=သီႇပေႃႉ, f=353
 word=လုၵ်ႈဢွၼ်ႇ, f=352
 word=သျႃး, f=352
 word=ၸွမ်ပိဝ်, f=351
 word=ၼၢၼ်း, f=351
 word=လတ်း, f=351
 word=ၸဵတ်း, f=349
 word=ၸမ်ႉ, f=349
 word=မီးၸႂ်, f=348
 word=ယၢၼ်း, f=348
 word=ယူဝ်း, f=348
 word=လေႃး, f=348
 word=လ်, f=348
 word=ပတ်ႉ, f=347
 word=ၶရေႇ, f=344
 word=ႁၢပ်ႇၵၢၼ်, f=343
 word=ၸူဝ်ႈ, f=343
 word=ပိုၼ်ႉ, f=342
 word=ႁၢမ်း, f=342
 word=ၵႅဝ်ႈ, f=342
 word=သၢႆတၢင်း, f=340
 word=ဢဵၼ်, f=340
 word=ၵျုၼ်း, f=339
 word=ၵၢပ်ႈ, f=339
 word=တွပ်ႇ, f=339
 word=လဵင်ႉ, f=338
 word=ၼႃ, f=338
 word=ယဝ်ႈ, f=336
 word=ယႃႇပေ, f=334
 word=မၼ်ႈ, f=334
 word=ၼႆႉတႄႉ, f=333
 word=ပႅတ်ႉ, f=333
 word=တၢင်းၵိၼ်, f=332
